// Compost colors for ancient_aether. You may add your own colors, change existing ones, or remove colors that aren't needed.
aerogel_glass_door, #b6b9bf
aerogel_glass_pane, #d2d7e0
aeronautic_dart_shooter, #5e5e6e
ambrosium_campfire, #bfb564
ambrosium_lantern, #e3e096
ancient_armor_trim_smithing_template, #656475
ancient_dungeon_key, #434e70
ancient_pendant, #546490
ancient_ring, #4d5b87
ancient_rune, #fffbff
ancient_sword, #3a4461
ascended_armor_trim_smithing_template, #d7d3cc
atmosine_crystal, #ffcac6
blue_skyroot_pine_sapling, #90d4d2
crystal_skyroot_sapling, #aac0c9
divine_axe, #7c8080
divine_hoe, #707676
divine_pickaxe, #787c7c
divine_shovel, #868989
elevetia, #5f6487
enchanted_skyroot_sapling, #7d809d
festive_gummy_swet, #91aac3
grapes, #a46969
growth_pendant, #c98a6f
growth_ring, #cd9373
hermes_pendant, #a4b9c6
hermes_ring, #b2cad6
highsproot_boat, #5a4e41
highsproot_chest_boat, #6f5a37
highsproot_door, #5f5447
highsproot_hanging_sign, #61574a
highsproot_sapling, #758289
highsproot_sign, #5c5143
laboratory_dungeon_key, #bfcad3
mechanical_armor_trim_smithing_template, #e1e3de
mosaic_armor_trim_smithing_template, #828d9b
mysterious_armor_trim_smithing_template, #cccfc5
pink_cape, #e69ad9
royal_armor_trim_smithing_template, #ffde9e
sakura_boat, #40322d
sakura_chest_boat, #5f482c
sakura_door, #5a473e
sakura_hanging_sign, #4a3e3a
sakura_sapling, #c99da7
sakura_sign, #43332f
shield_of_inebriation, #796f8a
shield_of_remediation, #d3a07d
sky_blues, #acd4e8
sky_grass, #acf0c2
skyroot_pine_sapling, #b2cd82
slammberry, #9da8a5
solar_armor_trim_smithing_template, #c35e48
strength_stone, #ffc38c
sun_lantern, #ffab7a
sunset_rose, #dd7678
valkyrie_brick, #fff5e4
valkyrie_clay_ball, #fff2f1
valkyrum, #f2edde
valkyrum_axe, #d3bfa8
valkyrum_boots, #c9c3b5
valkyrum_chestplate, #e6e0cf
valkyrum_gloves, #e7e1d2
valkyrum_helmet, #c5bfb1
valkyrum_hoe, #c6af98
valkyrum_lance, #c5b29e
valkyrum_leggings, #d0cabb
valkyrum_pendant, #ccb498
valkyrum_pickaxe, #c6b19b
valkyrum_ring, #ccb8a1
valkyrum_shovel, #d3bea7
valkyrum_sword, #ddc9b2
warrior_pendant, #444444
warrior_ring, #484848
whale_armor_trim_smithing_template, #d4d0c9
wynd_armor_trim_smithing_template, #d7d0c8
wynd_lantern, #aabfb9
wynd_thistle, #aed2de
