// Compost colors for create_bic_bit. You may add your own colors, change existing ones, or remove colors that aren't needed.
aged_cheese, #f2c086
aged_cheese_wedge, #fcd49d
andesite_basket, #bcbfb9
bitterballen, #af7354
cheese_souffle, #f1b15c
chocolate_glazed_stroopwafel, #e47f5c
churros, #ffaa65
coated_churros, #cf6652
coated_oliebollen, #d0c2c0
cooked_herring, #c0b594
crushed_nether_wart, #a52530
crushed_sunflower_seeds, #5f6c94
curdled_milk_bucket, #c8c6be
dirty_paper, #ffffd2
eggball, #cd9050
enderball, #cd7f69
fries, #e3962a
frikandel, #b97a57
frikandel_sandwich, #c38a44
frying_oil_bottle, #ffeecf
frying_oil_bucket, #c8bba8
herring_bucket, #a1b1c0
ketchup_bottle, #ee9da8
ketchup_bucket, #be8989
ketchup_topped_frikandel_sandwich, #c0683a
ketchup_topped_kroket_sandwich, #c26e3a
kroket, #c28058
kroket_sandwich, #c58a46
kruidnoten, #a76e51
mayonnaise_bottle, #fffffb
mayonnaise_bucket, #d3d2be
mayonnaise_ketchup_topped_frikandel_sandwich, #cf9b5e
mayonnaise_ketchup_topped_kroket_sandwich, #cd9a5a
mayonnaise_topped_frikandel_sandwich, #d2ab5f
mayonnaise_topped_kroket_sandwich, #cfa55c
oliebollen, #b47d48
raw_bitterballen, #f5e4b2
raw_cheese_souffle, #ffffd9
raw_churros, #ffe475
raw_eggball, #ffffd4
raw_fries, #ffd26b
raw_frikandel, #fff2c2
raw_herring, #97b6ae
raw_kroket, #fff7c6
roasted_sunflower_seeds, #b49378
speculaas, #c0765f
stamppot_bowl, #b28a30
stroopwafel, #ffb56c
sunflower_seeds, #6979a0
sweet_dough, #e7a55b
unbaked_stroopwafel, #ffbe89
unripe_cheese, #fff0bc
unripe_cheese_wedge, #fffbc8
waxed_aged_cheese, #f2c086
waxed_unripe_cheese, #fff0bc
waxed_young_cheese, #f8d9a0
wrapped_chocolate_glazed_stroopwafel, #ffccbe
wrapped_churros, #ffedcd
wrapped_coated_churros, #f0c6c2
wrapped_fries, #e6b97d
wrapped_ketchup_topped_fries, #d79176
wrapped_mayonnaise_ketchup_topped_fries, #da9e89
wrapped_mayonnaise_topped_fries, #eedcaf
wrapped_stroopwafel, #fff0c8
young_cheese, #f8d9a0
young_cheese_wedge, #ffebb9
