// Compost colors for create_enchantment_industry. You may add your own colors, change existing ones, or remove colors that aren't needed.
apotheotic_affix_template, #ffcdb5
apotheotic_essence_bucket, #fff4da
blazes_enchanting_handbook, #725543
brass_affix_template, #feb970
crystal_affix_template, #ffc6d3
crystal_essence_bucket, #fafaff
enchanting_template, #caffa0
experience_bucket, #9ee07a
experience_cake, #5fc09a
experience_cake_base, #3066d9
experience_cake_slice, #54aa9e
incomplete_apotheotic_affix_template, #ffcdb5
incomplete_brass_affix_template, #feb970
incomplete_crystal_affix_template, #ffc6d3
infused_dragon_breath_bucket, #e6c5d9
super_enchanting_template, #86ffff
super_experience_nugget, #b6ffff
