// Compost colors for createfood. You may add your own colors, change existing ones, or remove colors that aren't needed.
apple_cheesecake, #ff9b64
apple_cheesecake_slice, #ffb98e
apple_cream_cake, #f2cc89
apple_cream_cake_slice, #e3a25a
apple_cream_chocolate, #dd7f62
apple_cream_chocolate_cupcake, #cfbc7d
apple_cream_chocolate_donut, #f7e197
apple_cream_chocolate_pastry, #b67a32
apple_cream_chocolate_sweet_roll, #f8e8a4
apple_cream_cupcake, #ffdd91
apple_cream_dark_chocolate, #835430
apple_cream_donut, #fffb9a
apple_cream_frosting_bottle, #fffff8
apple_cream_frosting_bucket, #e1e0b8
apple_cream_frosting_piping_bag, #d4c09a
apple_cream_mini_waffle, #ffd780
apple_cream_pastry, #ffb443
apple_cream_sweet_roll, #ffffab
apple_cream_white_chocolate, #ffe3af
apple_custard_bottle, #e1f2cf
apple_custard_bucket, #c2c09d
apple_ice_cream_bowl, #bbaa66
apple_ice_cream_bucket, #d9dabf
apple_ice_cream_cone, #ffe88e
apple_ice_cream_sandwich, #9d5520
apple_ice_cream_stick, #a08d5a
apple_jam_bottle, #fffffe
apple_jam_bucket, #d0d2a0
apple_jam_chocolate_donut, #a46829
apple_jam_donut, #ffa130
apple_jam_sandwich, #caa448
apple_juice_bottle, #faffe3
apple_juice_bucket, #c8c3ac
apple_milkshake_bottle, #fffffb
apple_milkshake_bucket, #d7d0ae
apple_pie_filling_bucket, #be979a
apple_popsicle, #e3c972
apple_slice, #ffe09e
bacon_bits, #e0725c
bacon_calzone, #ee9643
bacon_pizza, #ffb632
bacon_pizza_slice, #f1a820
bacon_sandwich, #ca8a43
bacon_sandwich_lettuce, #bc8e3c
baked_potato_butter, #ffc546
baked_potato_butter_bacon, #ffb54a
baked_potato_butter_cheese, #ffc239
baked_potato_butter_fish, #ffb451
baked_potato_butter_fried_egg, #ffbf5e
baked_potato_butter_mushroom, #f4a441
baked_potato_butter_sour_cream, #ffd77f
bar_of_dark_chocolate, #662f14
bar_of_white_chocolate, #ffdeb6
beef_bun, #905533
