// Compost colors for railways. You may add your own colors, change existing ones, or remove colors that aren't needed.
benchcart, #947f69
black_folding_locometal_door, #40414d
black_hinged_locometal_door, #3d3e48
black_locometal_end_ladder, #373743
black_locometal_rung_ladder, #3a3c46
black_paint_pitcher, #9ebee1
black_sliding_locometal_door, #484b57
blue_folding_locometal_door, #648ab1
blue_hinged_locometal_door, #5f86ae
blue_locometal_end_ladder, #587fab
blue_locometal_rung_ladder, #5b84af
blue_paint_pitcher, #acddff
blue_sliding_locometal_door, #709bbf
brown_folding_locometal_door, #7c5e54
brown_hinged_locometal_door, #795b51
brown_locometal_end_ladder, #73554d
brown_locometal_rung_ladder, #785850
brown_paint_pitcher, #b6cae6
brown_sliding_locometal_door, #87695b
chartreuse_folding_locometal_door, #9be66e
chartreuse_hinged_locometal_door, #98e466
chartreuse_locometal_end_ladder, #98e65f
chartreuse_locometal_rung_ladder, #a1ea64
chartreuse_paint_pitcher, #cafff1
chartreuse_sliding_locometal_door, #aff27a
cyan_folding_locometal_door, #34937d
cyan_hinged_locometal_door, #328e7a
cyan_locometal_end_ladder, #288775
cyan_locometal_rung_ladder, #298c78
cyan_paint_pitcher, #97def5
cyan_sliding_locometal_door, #3ea287
diorite_folding_locometal_door, #fafbff
diorite_hinged_locometal_door, #f7f8ff
diorite_locometal_end_ladder, #f8faff
diorite_locometal_rung_ladder, #fefeff
diorite_paint_pitcher, #ebffff
diorite_sliding_locometal_door, #ffffff
dripstone_folding_locometal_door, #bf947a
dripstone_hinged_locometal_door, #bf937a
dripstone_locometal_end_ladder, #be9078
dripstone_locometal_rung_ladder, #c2947a
dripstone_paint_pitcher, #d3e1f5
dripstone_sliding_locometal_door, #caa084
empty_paint_pitcher, #d6ffff
folding_locometal_door, #6e6166
granite_folding_locometal_door, #d28a6c
granite_hinged_locometal_door, #d0896b
granite_locometal_end_ladder, #d0876b
granite_locometal_rung_ladder, #d68c6e
granite_paint_pitcher, #dddef2
granite_sliding_locometal_door, #de9676
gray_folding_locometal_door, #727278
